date,哈罗德·劳埃德,查理·卓别林,雅克·塔蒂,巴斯特·基顿,路易斯·布努埃尔,弗里茨·朗,王家卫,韦斯·安德森,阿加莎·克里斯蒂,今敏,杨德昌,比利·怀尔德,伍迪·艾伦,昆汀·塔伦蒂诺,黑泽明,弗朗索瓦·特吕弗,让-吕克·戈达尔,阿基·考里斯马基,李洪绸
2022-05-09,0,0,0,6,3,7,35,54,17,24,28,22,50,43,28,10,29,3,35
2022-05-10,0,0,0,17,14,5,35,35,21,20,16,13,55,58,32,10,29,7,24
2022-05-11,0,0,0,16,14,1,35,57,17,26,34,13,51,35,48,10,25,9,16
2022-05-12,0,0,0,3,7,3,34,43,15,34,28,15,35,41,34,7,21,11,18
2022-05-13,0,0,0,10,20,7,35,45,21,27,35,14,48,40,35,18,28,12,35
2022-05-14,0,0,0,6,14,1,35,43,26,35,35,16,58,70,48,10,23,8,51
2022-05-15,0,0,0,7,12,3,35,56,28,27,35,17,54,65,45,20,30,8,39
2022-05-16,0,0,0,5,9,5,35,35,16,25,35,16,33,47,32,21,15,11,23
2022-05-17,0,0,0,5,11,3,34,34,16,35,34,16,33,34,34,20,19,8,18
2022-05-18,0,0,0,7,10,3,34,26,14,30,34,8,41,33,35,13,25,3,24
2022-05-19,0,0,0,7,9,3,33,28,17,30,23,16,28,52,35,7,14,9,21
2022-05-20,0,0,0,4,6,1,41,22,10,34,29,17,35,41,35,11,20,5,15
2022-05-21,0,0,0,5,12,3,41,43,15,28,35,13,51,46,39,20,26,16,23
2022-05-22,0,0,0,6,10,4,35,44,15,30,28,12,45,42,35,12,10,8,14
2022-05-23,0,0,0,5,7,2,34,59,9,24,28,13,33,31,42,13,15,6,17
2022-05-24,0,0,0,7,10,5,39,34,15,29,25,13,35,0,31,8,15,6,12
2022-05-25,0,0,0,6,12,4,33,33,18,28,35,13,32,82,39,15,14,9,13
2022-05-26,0,0,0,6,5,2,34,34,19,32,30,8,34,45,53,12,23,5,16
2022-05-27,0,0,0,11,11,6,35,35,15,32,33,19,35,35,24,17,27,6,8
2022-05-28,0,0,0,5,11,4,43,35,15,33,35,19,35,53,34,16,21,28,22
2022-05-29,0,0,0,8,11,4,57,38,18,29,34,31,30,35,52,9,27,35,15
2022-05-30,0,0,0,7,10,4,48,23,12,24,34,31,35,34,38,8,19,2,7
2022-05-31,0,0,0,6,9,2,47,28,16,22,21,16,29,40,26,15,25,6,11
2022-06-01,0,0,0,8,11,2,30,18,16,22,32,10,29,35,32,11,18,5,12
2022-06-02,0,0,0,2,4,6,35,28,13,26,18,10,24,34,31,8,13,0,9
2022-06-03,0,0,0,6,11,4,34,22,14,12,34,13,35,44,38,16,24,16,13
2022-06-04,0,0,0,4,15,5,54,23,16,31,33,17,41,56,27,13,15,7,11
2022-06-05,0,0,0,11,12,4,47,24,14,34,34,16,35,45,35,17,20,0,14
2022-06-06,0,0,0,4,10,10,42,29,16,34,30,13,45,27,19,12,25,11,12
2022-06-07,0,0,0,5,12,4,42,0,13,35,35,18,24,34,22,9,17,6,8
2022-06-08,0,0,0,3,7,5,35,32,15,34,30,9,34,31,34,10,19,7,11
2022-06-09,0,0,0,6,11,1,45,23,15,35,24,20,33,19,35,10,19,7,5
2022-06-10,0,0,0,8,3,0,18,22,17,31,21,20,21,28,34,3,9,6,8
2022-06-11,0,0,0,6,8,6,35,29,15,34,19,18,35,33,25,12,15,22,8
2022-06-12,0,0,0,11,13,4,46,24,16,35,26,11,31,35,35,9,11,14,4
2022-06-13,0,0,0,18,5,2,31,19,10,35,30,12,27,29,25,7,18,7,8
2022-06-14,0,0,0,8,9,3,31,0,25,35,29,20,20,33,28,13,20,2,9
2022-06-15,0,0,0,8,7,4,21,35,22,29,18,13,24,23,25,10,17,5,3
2022-06-16,0,0,0,4,9,2,31,22,16,29,18,15,26,0,22,10,9,5,4
2022-06-17,0,0,0,5,7,2,24,15,13,21,18,14,26,35,14,10,16,3,6
2022-06-18,0,0,0,7,9,2,35,24,4,30,31,15,27,35,20,16,10,7,9
2022-06-19,0,0,0,4,8,2,34,33,13,35,34,5,34,34,34,8,13,6,18
2022-06-20,0,0,0,5,6,2,35,31,16,31,22,13,30,33,22,12,15,6,7
